ID,probability
TEST_00000,0.008505937185566859
TEST_00001,0.009193469005839025
TEST_00002,0.33203052542624223
TEST_00003,0.24943086037650067
TEST_00004,0.7392833628763861
TEST_00005,0.32264823705251083
TEST_00006,0.7238524874181903
TEST_00007,0.6551119169354008
TEST_00008,0.555093490644439
TEST_00009,0.0028334114683369457
TEST_00010,0.13145713099011694
TEST_00011,0.7282778561705551
TEST_00012,0.6453120074989283
TEST_00013,0.6728343886203064
TEST_00014,0.5621472174357399
TEST_00015,0.008273647524980979
TEST_00016,0.46770893111868056
TEST_00017,0.6412930153839601
TEST_00018,0.4625879968036836
TEST_00019,0.8365550033766749
TEST_00020,0.5104738323313791
TEST_00021,0.6599315230398101
TEST_00022,0.5263804381396571
TEST_00023,0.4562352165776512
TEST_00024,0.6567538649720872
TEST_00025,0.002676652526922877
TEST_00026,0.3242114749904949
TEST_00027,0.7104379021406946
TEST_00028,0.3898487820549687
TEST_00029,0.4114196416010705
TEST_00030,0.7031260889453892
TEST_00031,0.4130309765527098
TEST_00032,0.37978858447932495
TEST_00033,0.3800433547372351
TEST_00034,0.6640695404553539
TEST_00035,0.010251993882721622
TEST_00036,0.31490831062205366
TEST_00037,0.5887792866810612
TEST_00038,0.46858928582533943
TEST_00039,0.008114806601567633
TEST_00040,0.4085102807803319
TEST_00041,0.37916411740199213
TEST_00042,0.5704710931098637
TEST_00043,0.5749400862076908
TEST_00044,0.5789425542872931
TEST_00045,0.7716958952102161
TEST_00046,0.7698007290878506
TEST_00047,0.4485699755817747
TEST_00048,0.30044580854744457
TEST_00049,0.6579854698793028
TEST_00050,0.5199713283561195
TEST_00051,0.389008834979708
TEST_00052,0.2798408840881928
TEST_00053,0.7894993894967064
TEST_00054,0.003126589232986194
TEST_00055,0.6887576021187274
TEST_00056,0.557864648400696
TEST_00057,0.46028315952095183
TEST_00058,0.7461335304459892
TEST_00059,0.410902106328453
TEST_00060,0.0028311729963915134
TEST_00061,0.3744569036899986
TEST_00062,0.6029950434026919
TEST_00063,0.6043542087943958
TEST_00064,0.44134714190638663
TEST_00065,0.004922705040378553
TEST_00066,0.5356025632250531
TEST_00067,0.42462945029361676
TEST_00068,0.5449079373009569
TEST_00069,0.7294487886753053
TEST_00070,0.6634081621958485
TEST_00071,0.5911601542500134
TEST_00072,0.45098690070166486
TEST_00073,0.49447469864705534
TEST_00074,0.32450518958811864
TEST_00075,0.48378456198115033
TEST_00076,0.028987756579522413
TEST_00077,0.006636752394583584
